year,month,temperature
1873,6,-0.201
1873,7,-0.168
1873,8,-0.144
1873,9,-0.372
1873,10,-0.237
1873,11,-0.339
1873,12,-0.224
1874,1,-0.211
1874,2,-0.263
1874,3,-0.624
1874,4,-0.355
1874,5,-0.211
1874,6,-0.314
1874,7,-0.257
1874,8,-0.175
1874,9,-0.167
1874,10,-0.311
1874,11,-0.419
1874,12,-0.312
1875,1,-0.465
1875,2,-0.362
1875,3,-0.445
1875,4,-0.374
1875,5,-0.273
1875,6,-0.269
1875,7,-0.212
1875,8,-0.257
1875,9,-0.277
1875,10,-0.188
1875,11,-0.573
1875,12,-0.46
1876,1,-0.372
1876,2,-0.265
1876,3,-0.286
1876,4,-0.272
1876,5,-0.522
1876,6,-0.329
1876,7,-0.166
1876,8,-0.308
1876,9,-0.35
1876,10,-0.261
1876,11,-0.484
1876,12,-0.579
1877,1,-0.25
1877,2,-0.088
1877,3,0.055
1877,4,-0.119
1877,5,-0.045
1877,6,-0.059
1877,7,0.132
1877,8,0.23
1877,9,0.161
1877,10,0.189
1877,11,0.212
1877,12,-0.081
1878,1,-0.004
1878,2,0.42
1878,3,0.576
1878,4,0.31
1878,5,-0.053
1878,6,0.114
1878,7,0.135
1878,8,0.082
1878,9,-0.011
1878,10,-0.046
1878,11,0.024
1878,12,-0.118
1879,1,-0.117
1879,2,-0.224
1879,3,-0.072
1879,4,-0.295
1879,5,-0.256
1879,6,-0.2
1879,7,-0.218
1879,8,-0.246
1879,9,-0.308
1879,10,-0.09
1879,11,-0.285
1879,12,-0.487
1880,1,-0.386
1880,2,-0.497
1880,3,-0.272
1880,4,-0.338
1880,5,-0.225
1880,6,-0.311
1880,7,-0.27
1880,8,-0.19
1880,9,-0.377
1880,10,-0.313
1880,11,-0.179
1880,12,-0.232
1881,1,-0.083
1881,2,-0.185
1881,3,-0.063
1881,4,-0.005
1881,5,-0.066
1881,6,-0.347
1881,7,-0.151
1881,8,-0.139
1881,9,-0.308
1881,10,-0.251
1881,11,-0.387
1881,12,-0.213
1882,1,0.093
1882,2,0.014
1882,3,-0.106
1882,4,-0.282
1882,5,-0.257
1882,6,-0.349
1882,7,-0.356
1882,8,-0.201
1882,9,-0.203
1882,10,-0.352
1882,11,-0.444
1882,12,-0.567
1883,1,-0.399
1883,2,-0.427
1883,3,-0.092
1883,4,-0.319
1883,5,-0.234
1883,6,-0.13
1883,7,-0.272
1883,8,-0.35
1883,9,-0.368
1883,10,-0.285
1883,11,-0.504
1883,12,-0.274
1884,1,-0.241
1884,2,-0.193
1884,3,-0.495
1884,4,-0.549
1884,5,-0.58
1884,6,-0.52
1884,7,-0.551
1884,8,-0.471
1884,9,-0.531
1884,10,-0.475
1884,11,-0.606
1884,12,-0.446
1885,1,-0.673
1885,2,-0.471
1885,3,-0.371
1885,4,-0.518
1885,5,-0.541
1885,6,-0.578
1885,7,-0.354
1885,8,-0.435
1885,9,-0.432
1885,10,-0.33
1885,11,-0.406
1885,12,-0.168
1886,1,-0.628
1886,2,-0.627
1886,3,-0.535
1886,4,-0.398
1886,5,-0.322
1886,6,-0.468
1886,7,-0.276
1886,8,-0.434
1886,9,-0.488
1886,10,-0.458
1886,11,-0.563
1886,12,-0.376
1887,1,-0.938
1887,2,-0.701
1887,3,-0.471
1887,4,-0.378
1887,5,-0.464
1887,6,-0.492
1887,7,-0.351
1887,8,-0.545
1887,9,-0.398
1887,10,-0.429
1887,11,-0.419
1887,12,-0.423
1888,1,-0.346
1888,2,-0.513
1888,3,-0.446
1888,4,-0.376
1888,5,-0.351
1888,6,-0.321
1888,7,-0.243
1888,8,-0.27
1888,9,-0.294
1888,10,-0.092
1888,11,-0.164
1888,12,-0.116
1889,1,-0.121
1889,2,0.223
1889,3,0.046
1889,4,0.062
1889,5,-0.153
1889,6,-0.196
1889,7,-0.161
1889,8,-0.289
1889,9,-0.353
1889,10,-0.301
1889,11,-0.495
1889,12,-0.333
1890,1,-0.447
1890,2,-0.427
1890,3,-0.56
1890,4,-0.418
1890,5,-0.5
1890,6,-0.477
1890,7,-0.439
1890,8,-0.474
1890,9,-0.461
1890,10,-0.29
1890,11,-0.672
1890,12,-0.373
1891,1,-0.482
1891,2,-0.589
1891,3,-0.221
1891,4,-0.365
1891,5,-0.264
1891,6,-0.363
1891,7,-0.337
1891,8,-0.296
1891,9,-0.27
1891,10,-0.34
1891,11,-0.507
1891,12,-0.106
1892,1,-0.275
1892,2,-0.175
1892,3,-0.437
1892,4,-0.486
1892,5,-0.398
1892,6,-0.285
1892,7,-0.459
1892,8,-0.44
1892,9,-0.399
1892,10,-0.264
1892,11,-0.754
1892,12,-0.5
1893,1,-0.894
1893,2,-0.617
1893,3,-0.288
1893,4,-0.352
1893,5,-0.383
1893,6,-0.298
1893,7,-0.17
1893,8,-0.268
1893,9,-0.349
1893,10,-0.22
1893,11,-0.33
1893,12,-0.401
1894,1,-0.533
1894,2,-0.414
1894,3,-0.317
1894,4,-0.516
1894,5,-0.394
1894,6,-0.452
1894,7,-0.277
